0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:27 -0600] "GET /metaplay/artist/add?stateOptions=Alabama&stateOptions=Alaska&stateOptions=Arizona&stateOptions=Arkansas&stateOptions=California&stateOptions=Colorado&stateOptions=Connecticut&stateOptions=Delaware&stateOptions=District+Of+Columbia&stateOptions=Florida&stateOptions=Georgia&stateOptions=Hawaii&stateOptions=Idaho&stateOptions=Illinois&stateOptions=Indiana&stateOptions=Iowa&stateOptions=Kansas&stateOptions=Kentucky&stateOptions=Louisiana&stateOptions=Maine&stateOptions=Maryland&stateOptions=Massachusetts&stateOptions=Michigan&stateOptions=Minnesota&stateOptions=Mississippi&stateOptions=Missouri&stateOptions=Montana+Nebraska&stateOptions=Nevada&stateOptions=New+Hampshire&stateOptions=New+Jersey&stateOptions=New+Mexico&stateOptions=New+York&stateOptions=North+Carolina&stateOptions=North+Dakota&stateOptions=Ohio&stateOptions=Oklahoma&stateOptions=Oregon&stateOptions=Pennsylvania&stateOptions=Rhode+Island&stateOptions=South+Carolina&stateOptions=South+Dakota&stateOptions=Tennessee&stateOptions=Texas&stateOptions=Utah&stateOptions=Vermont&stateOptions=Virginia&stateOptions=Washington&stateOptions=West+Virginia&stateOptions=Wisconsin&stateOptions=Wyoming&genreOptions=Folk&genreOptions=Pop%2FRock&genreOptions=Electronic&genreOptions=**+New+Genre+**&albumOptions=Merriweather+Post+Pavilion&albumOptions=Unknown+Mortal+Orchestra&albumOptions=Dummy&albumOptions=**+New+Album+**&albumOptions=**+Do+Not+Add+Album+Now+** HTTP/1.1" 200 16423
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:27 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:27 -0600] "GET /metaplay/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:27 -0600] "GET /metaplay/resources/js/bootstrap-select.min.js HTTP/1.1" 200 23382
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:27 -0600] "GET /metaplay/resources/js/artistAdd.js HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:27 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 271682
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:27 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:27 -0600] "GET /metaplay/resources/img/fatherjohn.gif HTTP/1.1" 200 237300
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:41 -0600] "GET /metaplay/browse/albums HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:41 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:41 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 271682
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:41 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:42 -0600] "GET /metaplay/resources/img/kurtcobain.gif HTTP/1.1" 200 197372
