0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:39 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:39 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:39 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:40 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:40 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:40 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:41 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:41 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:41 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:42 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:42 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:42 -0700] "GET /metaplay/resources/img/cryingDrake.gif HTTP/1.1" 200 5078
