2015-10-07 13:17:38,235 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 13:17:38,236 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-07 13:17:38,237 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 13:17:38,237 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/PoorYorick/git/metaplay/metaplay/src/test/resources
2015-10-07 13:18:51,366 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 13:18:51,366 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-07 13:18:51,367 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 13:18:51,367 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/PoorYorick/git/metaplay/metaplay/src/test/resources
2015-10-07 13:20:56,041 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 13:20:56,041 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 13:20:56,043 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 13:20:56,043 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/PoorYorick/git/metaplay/metaplay/src/test/resources
2015-10-07 13:22:19,607 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 13:22:19,607 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 13:22:19,608 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
